id,name
1,"Fiji"
2,"Tanzania"
3,"W. Sahara"
4,"Canada"
5,"United States of America"
6,"Kazakhstan"
7,"Uzbekistan"
8,"Papua New Guinea"
9,"Indonesia"
10,"Argentina"
11,"Chile"
12,"Dem. Rep. Congo"
13,"Somalia"
14,"Kenya"
15,"Sudan"
16,"Chad"
17,"Haiti"
18,"Dominican Rep."
19,"Russia"
20,"Bahamas"
21,"Falkland Is."
22,"Norway"
23,"Greenland"
24,"Fr. S. Antarctic Lands"
25,"Timor-Leste"
26,"South Africa"
27,"Lesotho"
28,"Mexico"
29,"Uruguay"
30,"Brazil"
31,"Bolivia"
32,"Peru"
33,"Colombia"
34,"Panama"
35,"Costa Rica"
36,"Nicaragua"
37,"Honduras"
38,"El Salvador"
39,"Guatemala"
40,"Belize"
41,"Venezuela"
42,"Guyana"
43,"Suriname"
44,"France"
45,"Ecuador"
46,"Puerto Rico"
47,"Jamaica"
48,"Cuba"
49,"Zimbabwe"
50,"Botswana"
51,"Namibia"
52,"Senegal"
53,"Mali"
54,"Mauritania"
55,"Benin"
56,"Niger"
57,"Nigeria"
58,"Cameroon"
59,"Togo"
60,"Ghana"
61,"Cote d'Ivoire"
62,"Guinea"
63,"Guinea-Bissau"
64,"Liberia"
65,"Sierra Leone"
66,"Burkina Faso"
67,"Central African Rep."
68,"Congo"
69,"Gabon"
70,"Eq. Guinea"
71,"Zambia"
72,"Malawi"
73,"Mozambique"
74,"eSwatini"
75,"Angola"
76,"Burundi"
77,"Israel"
78,"Lebanon"
79,"Madagascar"
80,"Palestine"
81,"Gambia"
82,"Tunisia"
83,"Algeria"
84,"Jordan"
85,"United Arab Emirates"
86,"Qatar"
87,"Kuwait"
88,"Iraq"
89,"Oman"
90,"Vanuatu"
91,"Cambodia"
92,"Thailand"
93,"Laos"
94,"Myanmar"
95,"Vietnam"
96,"North Korea"
97,"South Korea"
98,"Mongolia"
99,"India"
100,"Bangladesh"
101,"Bhutan"
102,"Nepal"
103,"Pakistan"
104,"Afghanistan"
105,"Tajikistan"
106,"Kyrgyzstan"
107,"Turkmenistan"
108,"Iran"
109,"Syria"
110,"Armenia"
111,"Sweden"
112,"Belarus"
113,"Ukraine"
114,"Poland"
115,"Austria"
116,"Hungary"
117,"Moldova"
118,"Romania"
119,"Lithuania"
120,"Latvia"
121,"Estonia"
122,"Germany"
123,"Bulgaria"
124,"Greece"
125,"Turkey"
126,"Albania"
127,"Croatia"
128,"Switzerland"
129,"Luxembourg"
130,"Belgium"
131,"Netherlands"
132,"Portugal"
133,"Spain"
134,"Ireland"
135,"New Caledonia"
136,"Solomon Is."
137,"New Zealand"
138,"Australia"
139,"Sri Lanka"
140,"China"
141,"Taiwan"
142,"Italy"
143,"Denmark"
144,"United Kingdom"
145,"Iceland"
146,"Azerbaijan"
147,"Georgia"
148,"Philippines"
149,"Malaysia"
150,"Brunei"
151,"Slovenia"
152,"Finland"
153,"Slovakia"
154,"Czechia"
155,"Eritrea"
156,"Japan"
157,"Paraguay"
158,"Yemen"
159,"Saudi Arabia"
160,"Antarctica"
161,"N. Cyprus"
162,"Cyprus"
163,"Morocco"
164,"Egypt"
165,"Libya"
166,"Ethiopia"
167,"Djibouti"
168,"Somaliland"
169,"Uganda"
170,"Rwanda"
171,"Bosnia and Herz."
172,"North Macedonia"
173,"Serbia"
174,"Montenegro"
175,"Kosovo"
176,"Trinidad and Tobago"
177,"S. Sudan"
